id,beach,posto,state,lat,lng,youtube_id,notes
copa-p5,Copacabana,P5,RJ,-22.9817,-43.1907,qShdkqvyCww,looking toward P4
morro-terceira,Morro de São Paulo,Terceira Praia,BA,-13.3850,-38.9110,f2qPp97kJ_I,Pousada Tranquila
sao-conrado,São Conrado,Praia do Pepino,RJ,-23.0024,-43.2680,yugTx66OKu4,pista de voo livre @LiveRioBR
leblon-mirante,Leblon,Mirante,RJ,-22.9888,-43.2230,,stream antigo retirado
balneario-rincao,Balneário Rinção,Orla,SC,-28.8300,-49.2333,mWsPnnbHKE0,@Vejaomar
praia-grande-boqueirao,Praia Grande,Boqueirão,SP,-24.0050,-46.4040,afk7Axyf6vI,@Surfistafotografo
cabo-frio-forte,Cabo Frio,Praia do Forte,RJ,-22.8950,-42.0150,p6ppa-V3-KQ,@PointdoForte
balneario-camboriu,Balneário Camboriú,Hotel Marambaia,SC,-26.9900,-48.6300,j4Wne61IJ3I,@BNU.tv
santos-gonzaga,Santos,Gonzaga Canal 2,SP,-23.9700,-46.3300,l69Dc4s9qxk,@Olhar013
guaruja-enseada,Guarujá,Enseada P11,SP,-23.9950,-46.2200,v5Y6WsD577M,@Surfistafotografo
floripa-barra-lagoa,Florianópolis,Barra da Lagoa,SC,-27.5750,-48.4260,v9ne2bJD01U,@BarradaLagoaOnline
natal-ponta-negra,Natal,Ponta Negra,RN,-5.8760,-35.1650,yenIUzAsiBY,@LiveCamNatal

